Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Automóvel - Tipo de Veículo,Caminhão - Tipo de Veículo,Caminhão trator - Tipo de Veículo,Caminhonete - Tipo de Veículo,Camioneta - Tipo de Veículo,Micro-ônibus - Tipo de Veículo,Motocicleta - Tipo de Veículo,Motoneta - Tipo de Veículo,Ônibus - Tipo de Veículo,Outros - Tipo de Veículo,Total de Veículos,Trator de rodas - Tipo de Veículo,Utilitário - Tipo de Veículo
316800,31,MG,Sudeste,4068,663,19,1211,173,31,7670,710,156,225,14969,0,43
316805,31,MG,Sudeste,286,28,5,34,15,3,391,17,10,10,799,0,0
316810,31,MG,Sudeste,748,46,14,180,42,8,273,5,18,16,1352,0,2
316820,31,MG,Sudeste,234,13,0,45,9,5,125,5,2,4,442,0,0
316830,31,MG,Sudeste,527,79,5,106,18,8,300,7,7,7,1066,2,0
316840,31,MG,Sudeste,1543,113,3,250,51,15,1641,53,26,36,3732,0,1
316850,31,MG,Sudeste,2315,154,3,300,93,13,2079,56,17,81,5118,1,6
316860,31,MG,Sudeste,18949,1507,166,3782,786,176,15412,1305,163,1199,43625,4,176
316870,31,MG,Sudeste,20681,1047,142,1992,728,196,10219,748,133,776,36770,3,105
316880,31,MG,Sudeste,1697,83,5,335,126,19,966,136,11,79,3478,0,21
316890,31,MG,Sudeste,1727,153,1,433,42,15,643,69,11,28,3128,1,5
316900,31,MG,Sudeste,2768,253,19,358,118,8,2833,145,21,94,6627,0,10
316905,31,MG,Sudeste,793,52,0,165,26,14,510,24,7,3,1598,0,4
316910,31,MG,Sudeste,792,80,6,154,24,6,528,24,11,9,1635,1,0
316920,31,MG,Sudeste,1512,104,0,213,66,28,1071,40,24,27,3089,0,4
316930,31,MG,Sudeste,15182,929,113,1855,657,97,4526,401,201,378,24398,3,56
316935,31,MG,Sudeste,5725,383,111,941,201,39,2499,471,99,445,10926,2,10
316940,31,MG,Sudeste,12384,865,71,1630,574,105,3599,471,191,365,20320,1,64
316950,31,MG,Sudeste,287,29,0,32,8,6,301,12,7,12,694,0,0
316960,31,MG,Sudeste,5580,494,146,965,221,80,2070,834,72,711,11189,2,14
316970,31,MG,Sudeste,1975,327,30,496,169,40,3739,138,51,117,7089,0,7
316980,31,MG,Sudeste,848,95,0,124,43,29,466,14,4,9,1632,0,0
316990,31,MG,Sudeste,23055,2042,185,2515,907,88,16316,1908,161,1209,48514,3,125
317000,31,MG,Sudeste,336,35,0,68,6,6,707,13,25,7,1204,0,1
317005,31,MG,Sudeste,1439,152,1,256,92,8,1479,42,20,16,3508,1,2
317010,31,MG,Sudeste,100619,4759,1201,12417,4715,946,40399,7667,951,7376,181947,26,871
317020,31,MG,Sudeste,195016,11415,4260,24605,8776,1140,84442,17738,1373,17309,368028,404,1550
317030,31,MG,Sudeste,91,8,0,28,8,3,148,3,2,4,295,0,0
317040,31,MG,Sudeste,17093,1377,505,3210,510,76,9228,2521,317,2068,36966,1,60
317043,31,MG,Sudeste,526,44,5,94,20,7,363,10,34,41,1145,0,1
317047,31,MG,Sudeste,218,17,1,41,6,4,187,2,11,12,499,0,0
317050,31,MG,Sudeste,1105,135,5,177,34,13,713,28,41,41,2295,0,3
317052,31,MG,Sudeste,405,69,6,86,9,4,851,48,27,49,1556,0,2
317057,31,MG,Sudeste,535,63,1,95,12,7,851,11,10,11,1597,0,1
317060,31,MG,Sudeste,309,33,1,82,15,3,190,6,6,5,653,1,2
317065,31,MG,Sudeste,197,42,0,59,0,5,859,16,12,10,1200,0,0
317070,31,MG,Sudeste,38604,1918,487,4871,1594,170,12699,1473,310,1715,64126,70,215
317075,31,MG,Sudeste,1089,90,35,159,17,11,313,28,46,114,1902,0,0
317080,31,MG,Sudeste,3720,442,87,773,102,20,3949,620,88,450,10270,0,19
317090,31,MG,Sudeste,926,47,0,166,34,10,2704,60,39,40,4026,0,0
317100,31,MG,Sudeste,5175,307,42,882,122,38,1259,298,87,246,8473,2,15
317103,31,MG,Sudeste,212,16,0,49,4,2,678,11,9,9,990,0,0
317107,31,MG,Sudeste,379,38,0,108,26,9,915,30,18,11,1534,0,0
317110,31,MG,Sudeste,438,39,0,83,20,26,142,4,2,10,766,0,2
317115,31,MG,Sudeste,629,87,1,117,16,9,1075,10,21,1,1966,0,0
317120,31,MG,Sudeste,18029,888,147,1712,889,181,7070,434,145,790,30330,5,40
317130,31,MG,Sudeste,16421,651,21,2245,581,160,12545,721,172,475,34129,2,135
317140,31,MG,Sudeste,528,42,2,93,19,11,511,5,5,6,1223,0,1
317150,31,MG,Sudeste,205,35,1,25,8,2,198,24,6,13,517,0,0
317160,31,MG,Sudeste,753,67,1,236,21,11,1267,40,24,21,2443,0,2
317170,31,MG,Sudeste,873,133,3,181,88,17,765,13,6,21,2104,0,4
317180,31,MG,Sudeste,1474,87,6,288,59,5,1368,52,24,43,3409,0,3
317190,31,MG,Sudeste,235,18,0,60,6,6,616,19,9,2,972,0,1
317200,31,MG,Sudeste,7454,950,164,830,278,51,6503,558,66,633,17518,0,31
317210,31,MG,Sudeste,638,43,3,64,40,10,238,24,6,14,1081,0,1
317220,31,MG,Sudeste,417,43,3,56,15,7,181,4,6,8,741,0,1
320010,32,ES,Sudeste,5756,537,16,1201,178,81,4993,782,103,59,13756,3,47
320013,32,ES,Sudeste,1045,141,11,339,29,4,2029,404,23,37,4064,0,2
320016,32,ES,Sudeste,1012,104,11,273,44,18,1929,300,24,22,3745,1,7
320020,32,ES,Sudeste,5061,212,15,820,201,37,2899,607,26,89,9995,1,27
320030,32,ES,Sudeste,2901,426,542,744,138,27,1959,716,34,604,8113,5,17
320035,32,ES,Sudeste,874,109,2,212,23,22,996,240,22,20,2524,1,3
320040,32,ES,Sudeste,4287,291,44,610,220,72,1755,793,52,139,8311,4,44
320050,32,ES,Sudeste,1825,78,2,243,126,24,825,121,4,17,3280,0,15
320060,32,ES,Sudeste,15908,1308,368,2535,703,191,6312,2316,544,1791,32132,32,124
320070,32,ES,Sudeste,1371,190,25,308,68,10,1620,172,20,57,3851,2,8
320080,32,ES,Sudeste,5255,524,140,1089,144,28,4017,842,64,286,12426,5,32
320090,32,ES,Sudeste,6337,518,142,1357,166,31,6462,1667,116,350,17193,0,47
320100,32,ES,Sudeste,1345,235,2,433,30,14,2006,230,42,39,4381,1,4
320110,32,ES,Sudeste,5399,182,14,629,256,32,2634,880,21,65,10165,1,52
320115,32,ES,Sudeste,1481,215,2,413,98,17,1676,107,47,6,4070,1,7
320120,32,ES,Sudeste,44712,4744,1090,6579,2028,205,20229,5593,1939,2051,89664,6,488
320130,32,ES,Sudeste,65977,5171,2151,7572,3572,573,26753,3920,1530,5093,122851,221,318
320140,32,ES,Sudeste,8117,1265,347,2237,410,88,4963,2261,73,582,20446,0,103
320150,32,ES,Sudeste,23915,2399,257,4425,895,164,11271,2530,510,923,47528,61,178
320160,32,ES,Sudeste,2305,239,32,462,70,15,1348,237,122,227,5074,2,15
320170,32,ES,Sudeste,2283,271,47,702,115,54,1407,271,49,81,5304,1,23
320180,32,ES,Sudeste,582,57,0,90,17,8,635,40,9,3,1442,0,1
320190,32,ES,Sudeste,6942,1051,78,1612,424,105,6360,633,73,188,17538,6,66
320200,32,ES,Sudeste,1277,133,12,226,32,21,825,73,14,33,2647,0,1
320210,32,ES,Sudeste,1873,160,15,431,45,37,3122,495,80,89,6351,0,4
320220,32,ES,Sudeste,2744,317,77,580,265,51,1166,194,38,167,5645,34,12
320225,32,ES,Sudeste,1337,267,27,469,32,6,2185,483,4,42,4855,0,3
320230,32,ES,Sudeste,6942,469,35,1121,302,47,2883,464,47,134,12506,1,61
320240,32,ES,Sudeste,28531,1073,235,3948,2161,303,10497,3633,218,837,52210,21,753
320245,32,ES,Sudeste,4002,478,28,779,172,42,4328,279,58,96,10300,14,24
320250,32,ES,Sudeste,2026,368,178,486,119,30,806,190,69,313,4678,67,26
320255,32,ES,Sudeste,1180,132,2,208,52,24,1231,128,17,5,2980,0,1
320260,32,ES,Sudeste,3479,708,1097,829,94,19,2561,742,63,1893,11509,4,20
320265,32,ES,Sudeste,1623,222,10,502,69,34,1959,154,22,25,4628,4,4
320270,32,ES,Sudeste,2146,271,26,706,61,11,2270,257,59,52,5863,2,2
320280,32,ES,Sudeste,3834,497,23,617,191,43,3221,995,66,91,9617,5,34
320290,32,ES,Sudeste,2032,344,18,516,54,27,1849,302,38,46,5254,17,11
320300,32,ES,Sudeste,4401,409,29,1025,156,53,3982,425,78,87,10669,1,23
320305,32,ES,Sudeste,2727,418,31,942,92,20,3911,1043,74,151,9421,5,7
320310,32,ES,Sudeste,1739,92,2,276,54,20,1487,410,16,20,4122,1,5
320313,32,ES,Sudeste,3207,316,93,693,151,22,1180,345,29,204,6260,6,14
320316,32,ES,Sudeste,1660,282,18,228,44,19,2952,242,26,42,5516,0,3
320320,32,ES,Sudeste,24571,2754,651,5120,1135,157,14099,5492,451,2015,56863,83,335
320330,32,ES,Sudeste,1486,152,4,368,40,21,1485,324,26,25,3938,1,6
320332,32,ES,Sudeste,5603,871,31,1457,360,40,3872,1503,59,131,14003,0,76
320334,32,ES,Sudeste,3533,642,141,805,252,42,2693,290,30,251,8727,22,26
320335,32,ES,Sudeste,1815,380,14,626,47,18,2666,372,18,39,6004,2,7
320340,32,ES,Sudeste,3906,271,40,843,155,38,3289,601,72,120,9376,3,38
320350,32,ES,Sudeste,1852,196,9,443,50,10,1643,319,32,95,4668,2,17
320360,32,ES,Sudeste,637,53,1,108,7,8,392,41,17,24,1289,0,1
320370,32,ES,Sudeste,2660,188,6,620,162,41,2613,329,43,23,6694,0,9
320380,32,ES,Sudeste,2141,161,7,526,87,17,1575,332,23,36,4921,0,16
320390,32,ES,Sudeste,6655,899,117,2031,178,42,6828,1415,174,303,18679,2,35
320400,32,ES,Sudeste,2129,283,16,592,83,29,2854,283,16,45,6339,0,9
320405,32,ES,Sudeste,2651,441,64,620,67,41,1724,459,226,327,6635,5,10
320410,32,ES,Sudeste,2396,298,6,598,64,24,2243,351,124,68,6191,0,19
320420,32,ES,Sudeste,3424,224,32,578,193,33,1743,1120,15,101,7512,0,49
320425,32,ES,Sudeste,668,57,1,129,15,7,623,149,16,9,1675,0,1
320430,32,ES,Sudeste,1944,261,5,444,94,16,2152,315,21,53,5331,0,26
320435,32,ES,Sudeste,2289,561,56,1112,68,21,4338,1326,47,113,9967,16,20
320440,32,ES,Sudeste,1816,326,48,365,76,11,1898,421,25,83,5083,0,14
320450,32,ES,Sudeste,1651,403,11,403,106,33,2126,134,30,42,4951,5,7
320455,32,ES,Sudeste,7707,2009,233,1898,315,93,8543,1756,62,405,23062,17,24
320460,32,ES,Sudeste,4778,677,49,1258,207,43,3872,501,97,145,11658,3,28
320465,32,ES,Sudeste,1028,225,46,390,33,10,1430,338,24,88,3622,0,10
320470,32,ES,Sudeste,4763,655,70,1294,172,18,6300,2403,104,191,16013,13,30
320480,32,ES,Sudeste,1941,86,9,256,87,15,970,174,16,20,3585,0,11
320490,32,ES,Sudeste,17664,1062,155,3128,562,106,9956,2933,371,1029,37101,16,119
320495,32,ES,Sudeste,1608,299,11,471,29,17,2224,238,25,37,4963,1,3
320500,32,ES,Sudeste,87262,8543,2366,10051,4082,598,23167,3579,2199,5300,148275,647,481
320501,32,ES,Sudeste,2270,315,33,610,74,19,2475,376,54,95,6340,12,7
320503,32,ES,Sudeste,3570,461,86,949,130,25,2566,414,54,114,8389,0,20
320506,32,ES,Sudeste,6252,792,178,1597,368,27,2963,758,112,318,13466,9,92
320510,32,ES,Sudeste,10171,1163,1652,1612,731,91,4709,729,330,2600,23868,36,44
320515,32,ES,Sudeste,907,136,13,333,34,4,2159,294,22,31,3935,0,2
320517,32,ES,Sudeste,1725,352,15,665,48,8,3818,513,34,33,7220,6,3
320520,32,ES,Sudeste,111623,4209,1148,10967,7471,818,29683,6397,763,5330,180286,193,1684
320530,32,ES,Sudeste,119310,3735,879,14128,9264,1078,18770,3025,938,4330,178463,267,2739
330010,33,RJ,Sudeste,27147,1050,90,2796,1449,187,9103,2206,348,449,45095,2,268
330015,33,RJ,Sudeste,1556,114,1,184,46,15,1669,549,10,15,4159,0,0
330020,33,RJ,Sudeste,28609,1772,105,2656,1356,292,7748,1823,105,889,45491,1,135
330022,33,RJ,Sudeste,2125,148,30,257,102,34,1072,214,38,60,4091,0,11
330023,33,RJ,Sudeste,7391,295,10,936,551,287,2420,808,49,168,13077,2,160
330025,33,RJ,Sudeste,4690,121,17,398,225,47,1242,402,12,118,7303,0,31
330030,33,RJ,Sudeste,18226,1452,183,1533,1291,175,3167,1097,263,426,27905,5,87
330040,33,RJ,Sudeste,39599,2056,990,3339,1618,191,6398,1062,608,1622,57677,32,162
330045,33,RJ,Sudeste,49722,1586,126,3072,3024,309,12896,1603,819,402,73645,29,57
330050,33,RJ,Sudeste,5813,587,196,733,341,38,1997,332,36,294,10418,0,51
330060,33,RJ,Sudeste,4943,333,33,508,212,60,3401,897,57,120,10575,1,10
330070,33,RJ,Sudeste,48437,3287,243,5025,3224,331,12846,3397,443,1385,78972,6,348
330080,33,RJ,Sudeste,10163,810,28,1094,647,145,3579,849,43,192,17620,0,70
330090,33,RJ,Sudeste,1340,93,4,144,46,21,1448,325,16,31,3472,0,4
330093,33,RJ,Sudeste,1681,86,2,144,100,23,946,229,7,52,3273,0,3
330095,33,RJ,Sudeste,1219,143,15,116,54,32,476,90,19,41,2213,0,8
330100,33,RJ,Sudeste,102040,6523,715,9659,4317,910,29339,9901,1218,4691,169949,43,593
330110,33,RJ,Sudeste,3420,180,11,387,166,32,1272,173,39,90,5784,5,9
330115,33,RJ,Sudeste,1405,161,7,187,98,25,1019,247,32,79,3264,2,2
330120,33,RJ,Sudeste,1685,126,11,193,74,23,648,159,31,22,2979,0,7
330130,33,RJ,Sudeste,6263,515,63,702,406,105,2200,645,39,267,11240,1,34
330140,33,RJ,Sudeste,3136,164,0,337,101,38,2340,613,50,117,6904,1,7
330150,33,RJ,Sudeste,5335,284,10,459,203,38,1440,228,48,93,8167,2,27
330160,33,RJ,Sudeste,1723,115,6,180,82,27,552,137,6,27,2864,0,9
330170,33,RJ,Sudeste,132290,8602,1729,10657,7639,897,27079,4005,3723,4692,201723,52,358
330180,33,RJ,Sudeste,2625,136,3,194,184,27,848,159,16,33,4234,0,9
330185,33,RJ,Sudeste,6241,333,31,651,394,65,2414,682,41,127,11015,3,33
330187,33,RJ,Sudeste,5178,161,5,341,238,61,1323,467,22,101,7905,0,8
330190,33,RJ,Sudeste,38070,2985,201,3547,2532,814,9880,1316,432,788,60722,5,152
330200,33,RJ,Sudeste,26157,1527,160,2038,1984,268,4780,973,297,513,38785,3,85
330205,33,RJ,Sudeste,1901,194,34,188,69,24,1233,344,26,113,4127,0,1
330210,33,RJ,Sudeste,4076,314,10,594,190,47,3459,1183,30,88,10002,0,11
330220,33,RJ,Sudeste,15663,1276,58,1628,687,119,10643,2366,108,700,33317,12,57
330225,33,RJ,Sudeste,4352,151,21,423,234,74,1283,306,45,104,7022,1,28
330227,33,RJ,Sudeste,6466,445,16,500,449,53,2418,373,59,65,10859,0,15
330230,33,RJ,Sudeste,677,44,0,75,27,6,499,106,13,8,1456,0,1
330240,33,RJ,Sudeste,52659,2875,713,6025,3338,796,17316,3787,874,3251,92381,59,688
330245,33,RJ,Sudeste,1652,147,9,178,61,13,507,64,11,48,2693,0,3
330250,33,RJ,Sudeste,28734,1558,158,2273,1842,385,9096,1963,200,521,46828,1,97
330260,33,RJ,Sudeste,6361,136,9,680,361,124,1414,431,157,84,9821,1,63
330270,33,RJ,Sudeste,27185,949,39,2346,1393,315,7385,1679,352,567,42382,0,172
330280,33,RJ,Sudeste,3244,211,9,275,189,46,953,177,40,42,5200,3,11
330285,33,RJ,Sudeste,21895,679,123,1288,1058,102,4830,600,712,320,31654,6,41
330290,33,RJ,Sudeste,7814,328,9,890,469,82,2512,514,30,75,12798,0,75
330300,33,RJ,Sudeste,3667,233,6,378,153,25,2373,702,31,74,7662,1,19
330310,33,RJ,Sudeste,1925,88,1,208,79,14,1154,426,30,37,3967,0,5
330320,33,RJ,Sudeste,30602,649,26,1533,1398,142,5899,1019,318,198,41830,0,46
330330,33,RJ,Sudeste,171958,2396,104,10242,10406,1230,25314,3962,2739,2168,233293,8,2766
330340,33,RJ,Sudeste,63215,3430,291,5731,3162,236,16000,1997,316,1203,96072,4,487
330350,33,RJ,Sudeste,123401,5645,434,8408,6859,1324,25230,3916,1588,1472,178613,8,328
330360,33,RJ,Sudeste,8488,689,49,693,613,81,1634,590,133,160,13167,5,32
330370,33,RJ,Sudeste,6919,569,27,727,274,89,2212,561,111,142,11653,0,22
330380,33,RJ,Sudeste,3262,182,3,479,202,58,1882,423,28,86,6666,0,61
330385,33,RJ,Sudeste,5727,458,9,616,285,64,2370,583,38,53,10238,0,35
330390,33,RJ,Sudeste,86933,2978,259,7117,5867,607,18956,2557,875,1178,128258,6,925
330395,33,RJ,Sudeste,3507,189,14,281,168,42,606,110,101,68,5095,1,8
330400,33,RJ,Sudeste,4818,441,50,453,269,63,755,163,56,125,7211,1,17
330410,33,RJ,Sudeste,1654,78,1,159,93,14,736,187,17,23,2963,0,1
330411,33,RJ,Sudeste,5575,360,100,439,188,51,492,167,19,133,7545,0,21
330412,33,RJ,Sudeste,2392,189,10,250,152,69,448,97,29,40,3687,0,11
330414,33,RJ,Sudeste,15248,475,14,1057,758,210,5541,673,147,293,24437,0,21
330415,33,RJ,Sudeste,3181,194,18,335,146,32,1223,425,103,125,5798,0,16
330420,33,RJ,Sudeste,35451,1282,712,2889,1644,246,6536,1285,467,1051,51790,12,215
330430,33,RJ,Sudeste,26977,3526,193,3427,2820,376,5382,1447,152,1420,45855,3,132
330440,33,RJ,Sudeste,2361,89,23,278,102,16,549,116,18,64,3624,0,8
330450,33,RJ,Sudeste,1191,48,0,153,61,21,274,71,15,18,1863,0,11
330452,33,RJ,Sudeste,22335,928,121,2007,1094,727,6396,1684,90,885,36446,0,179
330455,33,RJ,Sudeste,1750539,36701,3063,98973,115080,16903,219279,29631,16738,17478,2326286,272,21629
330460,33,RJ,Sudeste,1328,61,2,158,55,22,556,92,3,24,2309,0,8
330470,33,RJ,Sudeste,6749,600,20,754,247,92,5022,1387,31,146,15077,2,27
330475,33,RJ,Sudeste,3522,373,9,530,168,77,3242,736,59,140,8867,0,11
330480,33,RJ,Sudeste,5182,416,19,514,246,29,4052,1701,57,294,12526,0,16
330490,33,RJ,Sudeste,155031,3779,230,8718,6454,1718,32370,3845,3185,1687,217351,9,325
330500,33,RJ,Sudeste,4424,528,54,622,222,97,1998,1039,56,204,9275,4,27
330510,33,RJ,Sudeste,76721,3387,257,4520,4334,494,12374,1329,1384,656,105588,0,132
330513,33,RJ,Sudeste,647,41,0,111,66,10,985,51,7,9,1927,0,0
330515,33,RJ,Sudeste,3841,600,71,452,238,35,1417,371,20,119,7189,6,19
330520,33,RJ,Sudeste,14729,723,60,1215,712,90,4444,958,64,317,23371,5,54
330530,33,RJ,Sudeste,1236,96,8,136,62,23,1115,126,5,26,2836,0,3
330540,33,RJ,Sudeste,1719,123,53,202,108,19,310,75,13,61,2693,0,10
330550,33,RJ,Sudeste,13891,692,82,1445,708,136,5416,1574,101,526,24680,2,107
330555,33,RJ,Sudeste,9497,988,107,888,567,62,2249,355,225,222,15196,0,36
330560,33,RJ,Sudeste,2534,269,43,313,182,51,1291,260,35,145,5140,0,17
330570,33,RJ,Sudeste,1874,250,5,293,85,12,2036,366,10,35,4974,0,8
330575,33,RJ,Sudeste,3087,245,21,327,157,57,1302,262,150,79,5695,2,6
330580,33,RJ,Sudeste,44782,2009,79,4217,2146,275,14156,1997,308,567,70850,3,311
330590,33,RJ,Sudeste,1245,64,2,150,67,17,558,53,12,22,2196,0,6
330600,33,RJ,Sudeste,14746,921,164,1302,759,107,6124,1343,206,540,26280,5,63
330610,33,RJ,Sudeste,12017,343,29,1033,464,95,3109,702,78,175,18102,0,57
330615,33,RJ,Sudeste,1050,67,0,166,69,13,693,88,5,7,2161,0,3
330620,33,RJ,Sudeste,7458,500,41,733,376,73,2173,281,86,135,11883,1,26
330630,33,RJ,Sudeste,81823,2284,288,5537,3674,350,13675,1880,615,1174,111750,5,445
350010,35,SP,Sudeste,12365,686,206,1747,462,61,3829,1401,79,1000,21879,3,40
350020,35,SP,Sudeste,986,72,20,130,23,3,289,24,26,95,1672,0,4
350030,35,SP,Sudeste,8251,790,133,1004,536,76,3614,754,128,399,15706,3,18
350040,35,SP,Sudeste,2265,109,4,276,163,17,652,97,12,42,3661,0,24
350050,35,SP,Sudeste,5716,180,13,664,261,74,2480,373,60,104,9971,0,46
350055,35,SP,Sudeste,1800,90,22,271,84,15,404,34,19,93,2837,0,5
350060,35,SP,Sudeste,1375,31,3,184,89,5,219,45,3,80,2053,3,16
350070,35,SP,Sudeste,9352,570,126,911,379,91,2809,853,94,394,15625,9,37
350075,35,SP,Sudeste,808,99,6,129,45,14,424,45,6,28,1613,2,7
350080,35,SP,Sudeste,1029,61,9,194,43,8,321,17,8,47,1739,0,2
350090,35,SP,Sudeste,778,65,5,70,30,5,109,5,32,50,1149,0,0
350100,35,SP,Sudeste,4863,339,140,729,295,47,616,45,102,283,7499,0,40
350110,35,SP,Sudeste,1055,96,9,218,34,4,350,21,44,123,1954,0,0
350115,35,SP,Sudeste,4144,231,41,323,172,31,769,50,33,66,5869,6,3
350120,35,SP,Sudeste,937,49,24,140,32,5,270,30,15,67,1569,0,0
350130,35,SP,Sudeste,5898,414,53,867,244,30,2751,308,37,229,10857,3,23
350140,35,SP,Sudeste,648,14,1,65,41,4,153,5,25,9,965,0,0
350150,35,SP,Sudeste,645,44,4,101,38,4,149,8,20,18,1031,0,0
350160,35,SP,Sudeste,92008,3545,682,11198,4940,534,23729,5480,769,3005,146708,35,783
350170,35,SP,Sudeste,10463,669,319,929,479,58,3978,292,227,912,18390,45,19
350180,35,SP,Sudeste,1749,140,12,249,39,6,455,61,27,68,2807,0,1
350190,35,SP,Sudeste,24050,1318,138,2833,1362,219,10926,1702,137,486,43317,7,139
350200,35,SP,Sudeste,1178,76,21,112,78,11,229,14,13,45,1778,0,1
350210,35,SP,Sudeste,17496,1268,363,2269,634,74,8049,2743,128,1602,34685,1,58
350220,35,SP,Sudeste,5095,378,108,828,186,48,2094,284,94,267,9403,0,21
350230,35,SP,Sudeste,1094,81,4,165,58,21,177,12,16,28,1662,0,6
350240,35,SP,Sudeste,789,74,2,182,17,8,244,13,7,22,1358,0,0
350250,35,SP,Sudeste,10189,833,57,1248,895,75,3403,365,525,349,18026,1,86
350260,35,SP,Sudeste,1441,105,5,236,45,9,424,49,25,79,2419,0,1
350270,35,SP,Sudeste,3740,339,61,551,202,40,2217,103,59,131,7462,7,12
350275,35,SP,Sudeste,4073,596,79,680,212,69,1203,112,49,212,7323,4,34
350280,35,SP,Sudeste,66489,3541,823,8294,3382,266,39881,10572,726,6087,140520,14,445
350290,35,SP,Sudeste,8606,498,77,1116,453,74,3572,330,24,260,15089,11,68
350300,35,SP,Sudeste,1402,54,31,204,54,9,163,19,23,69,2034,0,6
350310,35,SP,Sudeste,1082,50,0,147,60,10,348,46,24,27,1800,0,6
350315,35,SP,Sudeste,461,33,0,67,23,8,126,7,13,8,747,0,1
350320,35,SP,Sudeste,88351,3507,1086,8783,4265,414,31621,3576,1053,4784,147844,14,390
350330,35,SP,Sudeste,44818,2233,597,4778,2148,243,17354,5827,295,2179,80770,35,263
350335,35,SP,Sudeste,345,62,4,55,20,4,135,17,8,17,668,0,1
350340,35,SP,Sudeste,1706,157,7,353,83,8,638,79,26,69,3131,0,5
350350,35,SP,Sudeste,653,43,0,85,31,6,194,4,5,6,1029,0,2
350360,35,SP,Sudeste,2478,117,48,278,90,31,415,52,97,158,3769,0,5
350370,35,SP,Sudeste,2547,273,122,390,93,27,533,43,151,447,4634,2,6
350380,35,SP,Sudeste,15661,990,152,2107,818,92,6052,915,139,482,27456,1,47
350390,35,SP,Sudeste,27133,2787,444,3647,2082,280,5131,792,335,816,43859,96,316
350395,35,SP,Sudeste,464,31,3,63,13,6,166,11,5,41,804,0,1
350400,35,SP,Sudeste,32431,1736,505,4272,1312,188,15884,3114,351,2443,62457,14,207
350410,35,SP,Sudeste,52226,2411,619,6905,3379,339,18307,2236,324,1531,88956,23,656
350420,35,SP,Sudeste,4576,336,38,707,192,24,1806,218,43,285,8250,1,24
350430,35,SP,Sudeste,810,67,5,103,61,9,208,11,18,57,1351,0,2
350440,35,SP,Sudeste,2239,134,66,234,73,8,897,197,43,292,4195,3,9
350450,35,SP,Sudeste,28985,1261,180,3840,1220,152,9879,2693,259,1374,50089,2,244
350460,35,SP,Sudeste,5093,403,250,768,221,48,1465,147,69,589,9069,8,8
350470,35,SP,Sudeste,327,20,0,46,20,3,68,12,8,12,516,0,0
350480,35,SP,Sudeste,2824,180,30,468,147,4,722,133,21,140,4677,1,7
350490,35,SP,Sudeste,1996,122,9,252,128,18,432,18,31,35,3049,1,7
350500,35,SP,Sudeste,470,21,2,67,23,2,167,6,14,9,781,0,0
350510,35,SP,Sudeste,1276,117,6,134,39,5,568,50,36,77,2309,0,1
350520,35,SP,Sudeste,11326,785,144,1613,559,76,3823,848,94,746,20048,0,34
350530,35,SP,Sudeste,14544,1174,172,1734,639,92,3904,710,214,1390,24638,1,64
350535,35,SP,Sudeste,456,38,1,102,22,4,571,4,12,5,1216,0,1
350540,35,SP,Sudeste,594,56,4,72,39,15,292,14,44,13,1143,0,0
350550,35,SP,Sudeste,37281,1909,271,4504,1836,213,20842,4760,557,1611,74000,9,207
350560,35,SP,Sudeste,5982,452,69,665,360,33,2096,556,160,301,10716,23,19
350570,35,SP,Sudeste,87874,6418,1315,10400,6924,717,19273,2563,1182,2559,141045,101,1719
350580,35,SP,Sudeste,5996,722,136,805,232,22,2460,635,73,442,11543,0,20
350590,35,SP,Sudeste,20141,1116,297,2740,1017,129,5789,563,162,1458,33509,2,95
350600,35,SP,Sudeste,145520,5397,765,14785,7282,472,42414,7515,1117,5219,231323,21,816
350610,35,SP,Sudeste,25353,1586,559,3302,1178,141,10781,4712,260,1888,49898,2,136
350620,35,SP,Sudeste,658,70,7,69,35,10,199,17,11,72,1150,0,2
350630,35,SP,Sudeste,3269,317,29,600,147,26,660,111,40,163,5376,0,14
350635,35,SP,Sudeste,8583,508,16,1214,595,52,4264,926,108,426,16784,20,72
350640,35,SP,Sudeste,2377,149,11,338,72,9,891,130,25,159,4173,11,1
350650,35,SP,Sudeste,36276,1699,274,4201,1415,90,21314,8690,201,4261,78590,1,168
350660,35,SP,Sudeste,5975,365,18,622,382,33,1314,170,21,96,9021,15,10
350670,35,SP,Sudeste,3570,345,101,431,159,38,526,52,102,215,5549,0,10
350680,35,SP,Sudeste,3448,214,20,494,212,40,705,190,34,267,5640,1,15
350690,35,SP,Sudeste,2297,185,23,358,146,45,512,20,49,87,3729,0,7
350700,35,SP,Sudeste,18681,1156,652,2412,886,125,4251,689,140,1317,30434,6,119
350710,35,SP,Sudeste,6239,496,85,729,338,73,2288,186,61,156,10692,6,35
350715,35,SP,Sudeste,474,72,8,84,20,11,263,5,12,32,982,0,1
350720,35,SP,Sudeste,160,47,2,23,15,1,62,3,6,35,355,0,1
350730,35,SP,Sudeste,1022,216,56,206,56,11,273,22,21,289,2176,0,4
350740,35,SP,Sudeste,4252,328,56,688,263,19,1294,236,73,365,7585,0,11
350745,35,SP,Sudeste,428,49,6,94,27,11,113,19,8,15,770,0,0
350750,35,SP,Sudeste,50155,1678,244,5557,2492,274,13361,2104,476,2048,78703,31,283
